Pregunta,Respuesta
¿Qué beneficios ofrece afiliarse al Infonavit?,"Permite que los trabajadores accedan a créditos hipotecarios para construir, remodelar o adquirir vivienda, facilitando la obtención de patrimonio sin afectar su economía."
¿Desde cuándo pueden los trabajadores obtener vivienda por Infonavit?,"Los trabajadores pueden acceder a vivienda a partir del cuarto bimestre de afiliación."
¿Hay descuentos en el pago de aportaciones al Infonavit?,"Sí, el pago de aportaciones tiene un descuento gradual: 50% los dos primeros años, 40% en los años 3 y 4, 30% en los años 5 y 6, 20% en los años 7 y 8, y 10% en los años 9 y 10."
¿Qué beneficios ofrece la Sociedad Hipotecaria Federal (SHF) para adquirir vivienda?,"Permite obtener un crédito accesible para comprar casa nueva o usada, con las mejores condiciones del mercado y sin afectar tu economía."
¿Hay incentivos adicionales al adquirir vivienda con SHF?,"Sí, si mantienes tus pagos y obligaciones fiscales al corriente, puedes obtener una mensualidad gratis una vez al año durante los primeros años del crédito."
¿Qué es el Crédito para Crecer Juntos de NAFIN?,"Es un financiamiento de Nacional Financiera que otorga créditos desde $20,000 hasta $300,000 a través de bancos, con tasa preferencial y plazos de hasta 36 meses para operación o 60 meses para modernización del negocio."
¿Cuáles son los requisitos para obtener el Crédito para Crecer Juntos de NAFIN?,"Estar dado de alta en el Régimen de Incorporación Fiscal, buen historial crediticio, contar con aval y presentar constancia de situación fiscal, declaraciones bimestrales y estados de cuenta bancarios."
¿En qué consiste el programa Crezcamos Juntas de NAFIN?,"Es un crédito exclusivo para mujeres empresarias inscritas en el Régimen de Incorporación Fiscal, hasta $300,000, sin comisión por apertura, sin aval ni garantía hipotecaria, con plazos de hasta 36 meses para capital de trabajo y 60 meses para activo fijo."
¿Quiénes pueden acceder al Crédito Joven de NAFIN?,"Personas de 18 a 35 años inscritas en el Régimen de Incorporación Fiscal, con al menos un año operando su negocio, pueden solicitar hasta $300,000, con plazos de 36 meses para capital de trabajo y 60 meses para activo fijo, sin comisión por apertura."
¿Qué requisitos se necesitan para el Crédito Joven de NAFIN?,"Tener un año operando el negocio, contar con aval y presentar constancia de situación fiscal, declaraciones bimestrales y estados de cuenta bancarios."
¿Qué beneficios ofrece FONACOT a los trabajadores en el Régimen de Incorporación Fiscal?,"Permite a los trabajadores acceder a créditos en efectivo para comprar electrónicos, muebles, paquetes turísticos, electrodomésticos y pagar servicios, siempre que el patrón esté afiliado y el trabajador tenga al menos seis meses de antigüedad."
¿Qué es el Seguro de Vida Crezcamos Juntos?,"Es un seguro de bajo costo que protege económicamente a tu familia en caso de fallecimiento y puedes contratarlo si estás activo en el Régimen de Incorporación Fiscal."
¿Cuáles son los tipos de aseguramiento del Seguro Crezcamos Juntos?,"Opción A: Seguro de vida para el titular y familiares (cónyuge o concubina/o e hijos). Opción B: Seguro por muerte accidental solo para el titular."
¿Qué cubre la Opción A del Seguro Crezcamos Juntos?,"Cubre fallecimiento del titular y gastos funerarios de cónyuge o concubina/o e hijos, siempre que no padezcas ciertas enfermedades graves."
¿Qué cubre la Opción B del Seguro Crezcamos Juntos?,"Cubre fallecimiento del titular por accidente, incluso si padeces enfermedades graves como infarto, SIDA, cáncer, insuficiencia renal o cardiaca, hemorragias cerebrales, cirrosis o diabetes con hipertensión."
¿Cuáles son las sumas aseguradas y costos del Seguro Crezcamos Juntos?,"Opción A: Suma asegurada por fallecimiento del titular de $20,000, $50,000 o $100,000 y gastos funerarios de $5,000, $12,500 o $25,000. Costo mensual desde $29 y anual desde $293. Si padeces hipertensión o diabetes, el costo mensual inicia en $28 y anual en $340."
¿Quiénes son considerados residentes en el extranjero?,"Son personas o empresas cuya administración principal o sede de dirección efectiva está en un país distinto a México, o que no tienen casa habitación en México, o que generan más del 50% de sus ingresos o tienen el centro principal de actividades profesionales fuera de México."
¿Qué beneficios tiene un residente en el extranjero según la LISR?,"Puede aplicar los beneficios de tratados para evitar la doble tributación si acredita residencia, cumple el tratado y las disposiciones de la LISR. Si se retiene una tasa mayor, puede solicitar devolución por la diferencia."
¿Qué constancias se requieren para acreditar residencia en el extranjero?,"Las constancias expedidas por autoridades extranjeras surten efecto sin legalización y solo requieren traducción autorizada si la autoridad fiscal lo solicita."
¿Qué obligaciones fiscales tiene un extranjero residente en México?,"Debe tributar como nacional, pagar ISR por ingresos obtenidos, presentar declaración si no le retienen el impuesto, expedir comprobantes por servicios profesionales y recibos por ingresos de arrendamiento o comodato."
¿En qué consiste el Régimen de Ingresos por Dividendos?,"Es el régimen donde las personas físicas, socios o accionistas de una Persona Moral, obtienen ingresos por utilidades generadas, denominados dividendos, ganancias o utilidades."
¿Debo declarar los ingresos por dividendos?,"Sí, debes presentar tu declaración anual y, si te retuvieron impuesto, deben emitirte un comprobante fiscal que ampare los pagos y retenciones."
¿Qué deducciones personales puedo considerar en la declaración anual por dividendos?,"Puedes deducir gastos médicos, hospitalarios, dentales, intereses hipotecarios, servicios profesionales de psicología y nutrición, entre otros. Si tienes saldo a favor, puedes solicitarlo en devolución."
¿Debo inscribirme en el RFC si obtengo ingresos por dividendos?,"Sí, si no estás inscrito en el RFC y obtienes ingresos por dividendos, debes inscribirte."
¿En qué consiste el Régimen de Ingresos por Intereses?,"Es el régimen donde las personas físicas obtienen ingresos por intereses pagados por instituciones bancarias, de seguros y financieras, derivados de cuentas o inversiones bancarias."
¿Debo declarar los ingresos por intereses?,"Sí, debes presentar tu Declaración Anual y conservar la documentación relacionada, como estados de cuenta y constancia de retenciones."
¿Debo inscribirme en el RFC si obtengo ingresos por intereses?,"Sí, si no estás inscrito en el RFC y recibes ingresos por intereses, debes inscribirte."
¿Qué deducciones personales puedo considerar en la Declaración Anual por intereses?,"Puedes deducir gastos médicos, hospitalarios, dentales, intereses hipotecarios, entre otros. Si tienes saldo a favor, puedes solicitarlo en devolución."
¿Qué otros ingresos se tratan como intereses para efectos fiscales?,"Pagos de instituciones de seguros a asegurados o beneficiarios por retiros de primas o rendimientos, y pagos por seguros de supervivencia del asegurado."
¿Quiénes tributan en el Régimen de Servicios Profesionales (Honorarios)?,"Personas físicas que obtienen ingresos por prestar servicios profesionales de manera independiente, como abogados, contadores, arquitectos, médicos, dentistas, ingenieros, entre otros."
¿Qué obligaciones tiene quien tributa en el Régimen de Honorarios?,"Debe emitir facturas electrónicas por sus servicios, entregar comprobantes de nómina si tiene trabajadores y solicitar facturas por sus compras para deducir gastos."
¿Dónde puedo emitir facturas electrónicas por servicios profesionales?,"Puedes emitir facturas electrónicas en la aplicación gratuita del SAT, en sat.gob.mx, en la aplicación de K-CONSULTORES o en Mis Cuentas, sección Factura fácil."
¿Qué declaraciones debe presentar quien tributa en el Régimen de Honorarios?,"Debe presentar declaración mensual para calcular ISR y IVA, y declaración anual informando ingresos, gastos, retenciones y pagos provisionales, a más tardar el 30 de abril siguiente."
¿En qué consiste el régimen para personas morales con actividades agrícolas, ganaderas, silvícolas o pesqueras?,"Permite tributar en este régimen si al menos el 25% de los ingresos provienen de actividades del sector primario, y el resto de ingresos no supera 8 UMA´s al año."
¿Qué beneficios tiene este régimen para personas morales del sector primario?,"No pagas ISR hasta por 40 UMA´s al año, puedes presentar declaraciones mensuales o semestrales, aplicar una reducción del 40% en el ISR, deducir gastos sin factura electrónica y obtener devolución de IVA en máximo 20 días hábiles."
¿Qué gastos se pueden deducir en este régimen?,"Mano de obra de trabajadores eventuales, alimentación de ganado, gastos menores sin factura, además de gastos, inversiones, devoluciones, descuentos, bonificaciones, adquisiciones de mercancías, materias primas y deducción anticipada de terrenos."
¿En qué consiste el régimen de Demás ingresos?,"Es el régimen donde las personas físicas obtienen ingresos distintos a los de otros regímenes, como deudas perdonadas, ganancias cambiarias, derechos de autor percibidos por otros, operaciones financieras derivadas, entre otros."
¿Debo declarar los Demás ingresos?,"Sí, debes presentar tu Declaración Anual y, si te retuvieron impuesto, deben emitirte un comprobante fiscal que ampare los pagos y retenciones."
¿Debo inscribirme en el RFC si obtengo Demás ingresos?,"Sí, si no estás inscrito en el RFC y recibes este tipo de ingresos, debes inscribirte."
¿Cómo pago el impuesto por Demás ingresos?,"Debes obtener la línea de captura en el servicio de Declaraciones y Pagos, usando tu contraseña o e.firma."
¿Qué deducciones personales puedo considerar en la Declaración Anual por Demás ingresos?,"Puedes deducir gastos médicos, hospitalarios, dentales, intereses hipotecarios, servicios profesionales de psicología y nutrición, entre otros. Si tienes saldo a favor, puedes solicitarlo en devolución."
